date;class;focuses;uf
2024/10;Fogo em áreas de desmatamento recente;375;TOCANTINS
2024/10;Fogo em outras áreas;4;TOCANTINS
2024/10;Fogo em áreas de vegetação nativa;460;TOCANTINS
2024/11;Fogo em áreas de desmatamento consolidado;184;TOCANTINS
2024/11;Fogo em áreas de desmatamento recente;186;TOCANTINS
2024/11;Fogo em áreas de vegetação nativa;33;TOCANTINS
2024/12;Fogo em áreas de desmatamento consolidado;80;TOCANTINS
2024/12;Fogo em áreas de desmatamento recente;108;TOCANTINS
2024/12;Fogo em áreas de vegetação nativa;14;TOCANTINS
2024/09;Fogo em áreas de desmatamento consolidado;1573;TOCANTINS
2024/06;Fogo em áreas de desmatamento recente;1;SÃO PAULO
2024/08;Fogo em áreas de desmatamento consolidado;753;SÃO PAULO
2025/04;Fogo em áreas de desmatamento consolidado;2;SÃO PAULO
2024/06;Fogo em áreas de desmatamento consolidado;72;SÃO PAULO
2024/10;Fogo em áreas de vegetação nativa;8;SÃO PAULO
2024/08;Fogo em áreas de desmatamento recente;4;SÃO PAULO
2024/11;Fogo em áreas de desmatamento consolidado;2;SÃO PAULO
2025/05;Fogo em áreas de desmatamento consolidado;20;SÃO PAULO
2024/08;Fogo em áreas de vegetação nativa;3;SÃO PAULO
2025/06;Fogo em áreas de desmatamento consolidado;2;SÃO PAULO
2025/02;Fogo em áreas de desmatamento consolidado;15;SÃO PAULO
2025/01;Fogo em áreas de desmatamento consolidado;13;SÃO PAULO
2024/12;Fogo em áreas de desmatamento consolidado;8;SÃO PAULO
2024/09;Fogo em áreas de desmatamento consolidado;359;SÃO PAULO
2024/10;Fogo em áreas de desmatamento consolidado;145;SÃO PAULO
2024/07;Fogo em áreas de desmatamento consolidado;80;SÃO PAULO
2024/09;Fogo em áreas de desmatamento recente;2;SÃO PAULO
2024/09;Fogo em áreas de vegetação nativa;7;SÃO PAULO
2025/03;Fogo em áreas de desmatamento consolidado;8;SÃO PAULO
2024/09;Fogo em áreas de vegetação nativa;11;RONDÔNIA
2024/08;Fogo em áreas de desmatamento consolidado;20;RONDÔNIA
2024/10;Fogo em áreas de desmatamento recente;1;RONDÔNIA
2024/06;Fogo em áreas de desmatamento consolidado;1;RONDÔNIA
2024/10;Fogo em áreas de vegetação nativa;2;RONDÔNIA
2024/07;Fogo em áreas de desmatamento recente;2;RONDÔNIA
2024/08;Fogo em áreas de desmatamento recente;13;RONDÔNIA
2025/01;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2024/06;Fogo em áreas de desmatamento recente;1;RONDÔNIA
2024/11;Fogo em áreas de desmatamento recente;1;RONDÔNIA
2024/08;Fogo em áreas de vegetação nativa;10;RONDÔNIA
2024/06;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2025/01;Fogo em áreas de desmatamento consolidado;1;RONDÔNIA
2024/09;Fogo em áreas de desmatamento consolidado;13;RONDÔNIA
2025/01;Fogo em áreas de desmatamento recente;1;RONDÔNIA
2024/07;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2024/09;Fogo em áreas de desmatamento recente;8;RONDÔNIA
2024/07;Fogo em áreas de desmatamento consolidado;16;RONDÔNIA
2024/10;Fogo em áreas de desmatamento consolidado;1;RONDÔNIA
2025/03;Fogo em áreas de vegetação nativa;2;PIAUÍ
2024/09;Fogo em áreas de desmatamento recente;328;PIAUÍ
2024/09;Fogo em outras áreas;1;PIAUÍ
2024/07;Fogo em áreas de desmatamento recente;164;PIAUÍ
2025/03;Fogo em áreas de desmatamento consolidado;7;PIAUÍ
2024/07;Fogo em áreas de vegetação nativa;218;PIAUÍ
2025/05;Fogo em áreas de desmatamento recente;81;PIAUÍ
2024/09;Fogo em áreas de vegetação nativa;1170;PIAUÍ
2024/10;Fogo em áreas de desmatamento consolidado;355;PIAUÍ
2024/07;Fogo em áreas de desmatamento consolidado;162;PIAUÍ
2024/12;Fogo em áreas de desmatamento recente;216;PIAUÍ
2025/04;Fogo em áreas de desmatamento recente;26;PIAUÍ
2025/01;Fogo em áreas de desmatamento recente;29;PIAUÍ
2025/02;Fogo em áreas de vegetação nativa;2;PIAUÍ
2024/09;Fogo em áreas de desmatamento consolidado;544;PIAUÍ
2024/12;Fogo em áreas de desmatamento consolidado;183;PIAUÍ
2024/12;Fogo em áreas de vegetação nativa;35;PIAUÍ
2025/04;Fogo em áreas de vegetação nativa;4;PIAUÍ
2024/06;Fogo em áreas de vegetação nativa;73;PIAUÍ
2025/06;Fogo em áreas de vegetação nativa;52;PIAUÍ
2024/08;Fogo em áreas de vegetação nativa;575;PIAUÍ
2025/06;Fogo em áreas de desmatamento consolidado;21;PIAUÍ
2024/11;Fogo em áreas de desmatamento recente;289;PIAUÍ
2025/05;Fogo em áreas de desmatamento consolidado;31;PIAUÍ
2024/06;Fogo em áreas de desmatamento recente;97;PIAUÍ
2024/11;Fogo em áreas de desmatamento consolidado;331;PIAUÍ
2025/01;Fogo em áreas de vegetação nativa;7;PIAUÍ
2025/03;Fogo em áreas de desmatamento recente;19;PIAUÍ
2025/02;Fogo em áreas de desmatamento consolidado;15;PIAUÍ
2024/11;Fogo em áreas de vegetação nativa;131;PIAUÍ
2024/08;Fogo em áreas de desmatamento recente;188;PIAUÍ
2025/02;Fogo em áreas de desmatamento recente;29;PIAUÍ
2024/10;Fogo em áreas de desmatamento recente;283;PIAUÍ
2024/10;Fogo em áreas de vegetação nativa;406;PIAUÍ
2025/05;Fogo em áreas de vegetação nativa;70;PIAUÍ
2024/06;Fogo em áreas de desmatamento consolidado;63;PIAUÍ
2024/08;Fogo em áreas de desmatamento consolidado;353;PIAUÍ
2025/04;Fogo em áreas de desmatamento consolidado;12;PIAUÍ
2025/01;Fogo em áreas de desmatamento consolidado;47;PIAUÍ
2025/06;Fogo em áreas de desmatamento recente;36;PIAUÍ
2025/01;Fogo em áreas de desmatamento recente;3;PARÁ
2025/02;Fogo em áreas de desmatamento consolidado;1;PARÁ
2025/02;Fogo em áreas de desmatamento recente;3;PARÁ
2025/03;Fogo em áreas de desmatamento consolidado;5;PARÁ
2025/03;Fogo em áreas de desmatamento recente;1;PARÁ
2025/04;Fogo em áreas de desmatamento consolidado;3;PARÁ
2025/04;Fogo em áreas de desmatamento recente;5;PARÁ
2025/05;Fogo em áreas de desmatamento consolidado;3;PARÁ
2025/05;Fogo em áreas de desmatamento recente;16;PARÁ
2025/06;Fogo em áreas de desmatamento consolidado;5;PARÁ
2025/06;Fogo em áreas de desmatamento recente;14;PARÁ
2025/06;Fogo em áreas de vegetação nativa;1;PARÁ
2024/06;Fogo em áreas de desmatamento consolidado;7;PARÁ
2024/06;Fogo em áreas de desmatamento recente;29;PARÁ
2024/06;Fogo em áreas de vegetação nativa;1;PARÁ
2024/07;Fogo em áreas de desmatamento consolidado;31;PARÁ
2024/07;Fogo em áreas de desmatamento recente;49;PARÁ
2024/07;Fogo em outras áreas;1;PARÁ
2024/07;Fogo em áreas de vegetação nativa;9;PARÁ
2024/08;Fogo em áreas de desmatamento consolidado;56;PARÁ
2024/08;Fogo em áreas de desmatamento recente;34;PARÁ
2024/08;Fogo em outras áreas;1;PARÁ
2024/08;Fogo em áreas de vegetação nativa;35;PARÁ
2024/09;Fogo em áreas de desmatamento consolidado;157;PARÁ
2024/09;Fogo em áreas de desmatamento recente;131;PARÁ
2024/09;Fogo em outras áreas;5;PARÁ
2024/09;Fogo em áreas de vegetação nativa;62;PARÁ
2024/10;Fogo em áreas de desmatamento consolidado;36;PARÁ
2024/10;Fogo em áreas de desmatamento recente;47;PARÁ
2024/10;Fogo em áreas de vegetação nativa;4;PARÁ
2024/11;Fogo em áreas de desmatamento consolidado;3;PARÁ
2024/11;Fogo em áreas de desmatamento recente;8;PARÁ
2024/12;Fogo em áreas de desmatamento consolidado;1;PARÁ
2024/12;Fogo em áreas de desmatamento recente;3;PARÁ
2024/06;Fogo em áreas de desmatamento consolidado;1;PARANÁ
2025/02;Fogo em áreas de desmatamento consolidado;1;PARANÁ
2025/03;Fogo em áreas de desmatamento consolidado;4;PARANÁ
2024/07;Fogo em áreas de desmatamento consolidado;6;PARANÁ
2025/01;Fogo em áreas de desmatamento consolidado;1;PARANÁ
2024/07;Fogo em áreas de vegetação nativa;2;PARANÁ
2024/08;Fogo em áreas de desmatamento consolidado;18;PARANÁ
2024/08;Fogo em áreas de vegetação nativa;1;PARANÁ
2024/09;Fogo em áreas de desmatamento consolidado;9;PARANÁ
2024/11;Fogo em áreas de desmatamento consolidado;1;PARANÁ
2024/10;Fogo em áreas de desmatamento consolidado;3;PARANÁ
2025/05;Fogo em áreas de desmatamento recente;20;MINAS GERAIS
2025/01;Fogo em áreas de desmatamento recente;9;MINAS GERAIS
2024/10;Fogo em outras áreas;3;MINAS GERAIS
2024/10;Fogo em áreas de vegetação nativa;55;MINAS GERAIS
2025/02;Fogo em áreas de desmatamento consolidado;78;MINAS GERAIS
2024/12;Fogo em áreas de desmatamento consolidado;34;MINAS GERAIS
2024/12;Fogo em áreas de desmatamento recente;3;MINAS GERAIS
2024/11;Fogo em áreas de desmatamento consolidado;36;MINAS GERAIS
2025/05;Fogo em áreas de desmatamento consolidado;83;MINAS GERAIS
2025/05;Fogo em áreas de vegetação nativa;13;MINAS GERAIS
2025/03;Fogo em áreas de desmatamento consolidado;60;MINAS GERAIS
2024/11;Fogo em áreas de desmatamento recente;12;MINAS GERAIS
2025/04;Fogo em áreas de vegetação nativa;3;MINAS GERAIS
2024/10;Fogo em áreas de desmatamento recente;62;MINAS GERAIS
2024/10;Fogo em áreas de desmatamento consolidado;331;MINAS GERAIS
2025/02;Fogo em áreas de vegetação nativa;8;MINAS GERAIS
2024/09;Fogo em áreas de vegetação nativa;415;MINAS GERAIS
2025/04;Fogo em áreas de desmatamento recente;14;MINAS GERAIS
2024/09;Fogo em outras áreas;1;MINAS GERAIS
2024/09;Fogo em áreas de desmatamento recente;178;MINAS GERAIS
2025/01;Fogo em áreas de vegetação nativa;3;MINAS GERAIS
2024/09;Fogo em áreas de desmatamento consolidado;1952;MINAS GERAIS
2024/08;Fogo em áreas de vegetação nativa;152;MINAS GERAIS
2025/02;Fogo em áreas de desmatamento recente;27;MINAS GERAIS
2024/08;Fogo em áreas de desmatamento recente;95;MINAS GERAIS
2025/04;Fogo em áreas de desmatamento consolidado;33;MINAS GERAIS
2024/08;Fogo em áreas de desmatamento consolidado;995;MINAS GERAIS
2025/06;Fogo em áreas de vegetação nativa;8;MINAS GERAIS
2024/07;Fogo em áreas de vegetação nativa;130;MINAS GERAIS
2024/07;Fogo em áreas de desmatamento recente;84;MINAS GERAIS
2025/03;Fogo em áreas de vegetação nativa;9;MINAS GERAIS
2025/06;Fogo em áreas de desmatamento recente;19;MINAS GERAIS
2024/07;Fogo em áreas de desmatamento consolidado;502;MINAS GERAIS
2024/06;Fogo em áreas de vegetação nativa;56;MINAS GERAIS
2024/06;Fogo em áreas de desmatamento recente;28;MINAS GERAIS
2025/01;Fogo em áreas de desmatamento consolidado;61;MINAS GERAIS
2024/06;Fogo em áreas de desmatamento consolidado;329;MINAS GERAIS
2025/06;Fogo em áreas de desmatamento consolidado;64;MINAS GERAIS
2025/03;Fogo em áreas de desmatamento recente;11;MINAS GERAIS
2024/08;Fogo em áreas de desmatamento consolidado;786;MATO GROSSO DO SUL
2024/07;Fogo em áreas de desmatamento consolidado;147;MATO GROSSO DO SUL
2025/06;Fogo em áreas de desmatamento recente;34;MATO GROSSO DO SUL
2024/06;Fogo em áreas de vegetação nativa;47;MATO GROSSO DO SUL
2025/06;Fogo em áreas de vegetação nativa;1;MATO GROSSO DO SUL
2024/07;Fogo em áreas de desmatamento recente;7;MATO GROSSO DO SUL
2025/03;Fogo em áreas de desmatamento recente;7;MATO GROSSO DO SUL
2025/02;Fogo em áreas de desmatamento consolidado;73;MATO GROSSO DO SUL
2025/01;Fogo em áreas de desmatamento recente;11;MATO GROSSO DO SUL
2024/07;Fogo em áreas de vegetação nativa;108;MATO GROSSO DO SUL
2024/08;Fogo em áreas de desmatamento recente;36;MATO GROSSO DO SUL
2024/08;Fogo em áreas de vegetação nativa;435;MATO GROSSO DO SUL
2024/09;Fogo em áreas de desmatamento consolidado;677;MATO GROSSO DO SUL
2025/04;Fogo em áreas de desmatamento consolidado;9;MATO GROSSO DO SUL
2024/09;Fogo em áreas de desmatamento recente;43;MATO GROSSO DO SUL
2024/06;Fogo em áreas de desmatamento recente;47;MATO GROSSO DO SUL
2024/09;Fogo em áreas de vegetação nativa;96;MATO GROSSO DO SUL
2025/06;Fogo em áreas de desmatamento consolidado;40;MATO GROSSO DO SUL
2024/10;Fogo em áreas de desmatamento consolidado;128;MATO GROSSO DO SUL
2024/10;Fogo em áreas de desmatamento recente;21;MATO GROSSO DO SUL
2025/04;Fogo em áreas de desmatamento recente;6;MATO GROSSO DO SUL
2024/10;Fogo em áreas de vegetação nativa;14;MATO GROSSO DO SUL
2024/11;Fogo em áreas de desmatamento consolidado;23;MATO GROSSO DO SUL
2025/02;Fogo em áreas de desmatamento recente;8;MATO GROSSO DO SUL
2024/06;Fogo em áreas de desmatamento consolidado;147;MATO GROSSO DO SUL
2024/11;Fogo em áreas de desmatamento recente;2;MATO GROSSO DO SUL
2024/12;Fogo em áreas de desmatamento consolidado;32;MATO GROSSO DO SUL
2025/03;Fogo em áreas de desmatamento consolidado;50;MATO GROSSO DO SUL
2024/12;Fogo em áreas de desmatamento recente;7;MATO GROSSO DO SUL
2025/01;Fogo em áreas de desmatamento consolidado;84;MATO GROSSO DO SUL
2025/05;Fogo em áreas de desmatamento consolidado;77;MATO GROSSO DO SUL
2025/05;Fogo em áreas de vegetação nativa;3;MATO GROSSO DO SUL
2025/05;Fogo em áreas de desmatamento recente;45;MATO GROSSO DO SUL
2025/02;Fogo em áreas de vegetação nativa;1;MATO GROSSO DO SUL
2025/01;Fogo em áreas de vegetação nativa;1;MATO GROSSO DO SUL
2024/10;Fogo em áreas de vegetação nativa;296;MATO GROSSO
2025/01;Fogo em áreas de vegetação nativa;3;MATO GROSSO
2025/05;Fogo em áreas de vegetação nativa;81;MATO GROSSO
2024/10;Fogo em outras áreas;4;MATO GROSSO
2025/05;Fogo em áreas de desmatamento recente;102;MATO GROSSO
2024/10;Fogo em áreas de desmatamento recente;44;MATO GROSSO
2025/02;Fogo em áreas de vegetação nativa;4;MATO GROSSO
2024/07;Fogo em áreas de desmatamento recente;67;MATO GROSSO
2025/04;Fogo em áreas de desmatamento recente;7;MATO GROSSO
2025/02;Fogo em áreas de desmatamento consolidado;41;MATO GROSSO
2024/10;Fogo em áreas de desmatamento consolidado;275;MATO GROSSO
2024/08;Fogo em outras áreas;19;MATO GROSSO
2025/01;Fogo em áreas de desmatamento recente;8;MATO GROSSO
2025/05;Fogo em áreas de desmatamento consolidado;91;MATO GROSSO
2025/03;Fogo em áreas de desmatamento consolidado;115;MATO GROSSO
2024/09;Fogo em áreas de vegetação nativa;4433;MATO GROSSO
2024/07;Fogo em áreas de vegetação nativa;570;MATO GROSSO
2025/01;Fogo em áreas de desmatamento consolidado;66;MATO GROSSO
2024/08;Fogo em áreas de vegetação nativa;3607;MATO GROSSO
2024/06;Fogo em áreas de desmatamento recente;124;MATO GROSSO
2025/03;Fogo em áreas de desmatamento recente;16;MATO GROSSO
2024/08;Fogo em áreas de desmatamento recente;345;MATO GROSSO
2024/09;Fogo em outras áreas;31;MATO GROSSO
2024/12;Fogo em áreas de vegetação nativa;12;MATO GROSSO
2024/12;Fogo em áreas de desmatamento recente;36;MATO GROSSO
2025/03;Fogo em áreas de vegetação nativa;6;MATO GROSSO
2024/09;Fogo em áreas de desmatamento recente;537;MATO GROSSO
2025/06;Fogo em áreas de vegetação nativa;53;MATO GROSSO
2024/12;Fogo em áreas de desmatamento consolidado;96;MATO GROSSO
2024/06;Fogo em áreas de vegetação nativa;361;MATO GROSSO
2025/04;Fogo em áreas de vegetação nativa;5;MATO GROSSO
2025/04;Fogo em áreas de desmatamento consolidado;39;MATO GROSSO
2024/11;Fogo em áreas de vegetação nativa;17;MATO GROSSO
2025/06;Fogo em áreas de desmatamento consolidado;73;MATO GROSSO
2024/11;Fogo em áreas de desmatamento recente;20;MATO GROSSO
2025/06;Fogo em áreas de desmatamento recente;130;MATO GROSSO
2024/06;Fogo em áreas de desmatamento consolidado;200;MATO GROSSO
2024/09;Fogo em áreas de desmatamento consolidado;3453;MATO GROSSO
2024/11;Fogo em áreas de desmatamento consolidado;36;MATO GROSSO
2024/08;Fogo em áreas de desmatamento consolidado;2096;MATO GROSSO
2025/02;Fogo em áreas de desmatamento recente;13;MATO GROSSO
2024/07;Fogo em áreas de desmatamento consolidado;236;MATO GROSSO
2025/05;Fogo em áreas de desmatamento recente;246;MARANHÃO
2025/02;Fogo em áreas de vegetação nativa;7;MARANHÃO
2025/01;Fogo em áreas de desmatamento consolidado;108;MARANHÃO
2025/03;Fogo em áreas de desmatamento consolidado;35;MARANHÃO
2025/05;Fogo em áreas de desmatamento consolidado;80;MARANHÃO
2025/01;Fogo em áreas de vegetação nativa;12;MARANHÃO
2024/12;Fogo em áreas de vegetação nativa;45;MARANHÃO
2024/12;Fogo em áreas de desmatamento recente;580;MARANHÃO
2024/12;Fogo em áreas de desmatamento consolidado;525;MARANHÃO
2025/06;Fogo em áreas de desmatamento consolidado;54;MARANHÃO
2025/04;Fogo em áreas de vegetação nativa;10;MARANHÃO
2024/11;Fogo em áreas de vegetação nativa;141;MARANHÃO
2024/11;Fogo em outras áreas;1;MARANHÃO
2024/06;Fogo em áreas de desmatamento consolidado;195;MARANHÃO
2024/11;Fogo em áreas de desmatamento recente;953;MARANHÃO
2025/04;Fogo em outras áreas;1;MARANHÃO
2024/11;Fogo em áreas de desmatamento consolidado;987;MARANHÃO
2024/10;Fogo em áreas de vegetação nativa;494;MARANHÃO
2024/10;Fogo em outras áreas;1;MARANHÃO
2024/10;Fogo em áreas de desmatamento recente;1267;MARANHÃO
2025/04;Fogo em áreas de desmatamento recente;75;MARANHÃO
2025/02;Fogo em áreas de desmatamento recente;57;MARANHÃO
2024/10;Fogo em áreas de desmatamento consolidado;1488;MARANHÃO
2024/06;Fogo em áreas de desmatamento recente;596;MARANHÃO
2024/09;Fogo em áreas de vegetação nativa;1315;MARANHÃO
2024/09;Fogo em outras áreas;2;MARANHÃO
2025/02;Fogo em áreas de desmatamento consolidado;29;MARANHÃO
2025/05;Fogo em áreas de vegetação nativa;108;MARANHÃO
2024/09;Fogo em áreas de desmatamento recente;1200;MARANHÃO
2025/04;Fogo em áreas de desmatamento consolidado;36;MARANHÃO
2024/09;Fogo em áreas de desmatamento consolidado;1101;MARANHÃO
2025/01;Fogo em áreas de desmatamento recente;128;MARANHÃO
2024/08;Fogo em áreas de vegetação nativa;955;MARANHÃO
2024/08;Fogo em outras áreas;3;MARANHÃO
2024/08;Fogo em áreas de desmatamento recente;890;MARANHÃO
2025/03;Fogo em áreas de vegetação nativa;3;MARANHÃO
2025/06;Fogo em áreas de desmatamento recente;163;MARANHÃO
2024/08;Fogo em áreas de desmatamento consolidado;677;MARANHÃO
2024/06;Fogo em áreas de vegetação nativa;339;MARANHÃO
2024/07;Fogo em áreas de vegetação nativa;519;MARANHÃO
2024/07;Fogo em áreas de desmatamento recente;1125;MARANHÃO
2025/06;Fogo em áreas de vegetação nativa;87;MARANHÃO
2024/07;Fogo em áreas de desmatamento consolidado;493;MARANHÃO
2025/03;Fogo em áreas de desmatamento recente;22;MARANHÃO
2024/07;Fogo em áreas de desmatamento recente;64;GOIÁS
2024/08;Fogo em áreas de vegetação nativa;98;GOIÁS
2025/05;Fogo em áreas de desmatamento recente;29;GOIÁS
2025/02;Fogo em áreas de vegetação nativa;3;GOIÁS
2025/05;Fogo em áreas de desmatamento consolidado;102;GOIÁS
2024/06;Fogo em áreas de desmatamento recente;28;GOIÁS
2025/02;Fogo em áreas de desmatamento consolidado;48;GOIÁS
2025/01;Fogo em áreas de vegetação nativa;1;GOIÁS
2024/08;Fogo em áreas de desmatamento recente;97;GOIÁS
2025/04;Fogo em áreas de vegetação nativa;4;GOIÁS
2025/05;Fogo em áreas de vegetação nativa;20;GOIÁS
2024/06;Fogo em áreas de desmatamento consolidado;187;GOIÁS
2024/08;Fogo em áreas de desmatamento consolidado;904;GOIÁS
2025/02;Fogo em áreas de desmatamento recente;13;GOIÁS
2025/01;Fogo em áreas de desmatamento consolidado;90;GOIÁS
2025/03;Fogo em áreas de desmatamento recente;21;GOIÁS
2024/12;Fogo em áreas de vegetação nativa;3;GOIÁS
2024/12;Fogo em áreas de desmatamento recente;13;GOIÁS
2025/04;Fogo em áreas de desmatamento recente;3;GOIÁS
2024/12;Fogo em áreas de desmatamento consolidado;50;GOIÁS
2024/07;Fogo em áreas de vegetação nativa;34;GOIÁS
2024/11;Fogo em áreas de vegetação nativa;1;GOIÁS
2025/03;Fogo em áreas de desmatamento consolidado;65;GOIÁS
2024/11;Fogo em áreas de desmatamento recente;9;GOIÁS
2025/01;Fogo em áreas de desmatamento recente;10;GOIÁS
2024/11;Fogo em áreas de desmatamento consolidado;39;GOIÁS
2024/10;Fogo em áreas de vegetação nativa;55;GOIÁS
2024/10;Fogo em áreas de desmatamento recente;57;GOIÁS
2025/06;Fogo em áreas de vegetação nativa;40;GOIÁS
2025/04;Fogo em áreas de desmatamento consolidado;28;GOIÁS
2024/10;Fogo em áreas de desmatamento consolidado;317;GOIÁS
2024/09;Fogo em áreas de vegetação nativa;356;GOIÁS
2024/07;Fogo em áreas de desmatamento consolidado;382;GOIÁS
2024/09;Fogo em outras áreas;3;GOIÁS
2025/06;Fogo em áreas de desmatamento recente;25;GOIÁS
2025/03;Fogo em áreas de vegetação nativa;6;GOIÁS
2024/09;Fogo em áreas de desmatamento recente;216;GOIÁS
2024/06;Fogo em áreas de vegetação nativa;43;GOIÁS
2025/06;Fogo em áreas de desmatamento consolidado;57;GOIÁS
2024/09;Fogo em áreas de desmatamento consolidado;2493;GOIÁS
2024/12;Fogo em áreas de desmatamento consolidado;3;DISTRITO FEDERAL
2024/10;Fogo em áreas de desmatamento recente;1;DISTRITO FEDERAL
2024/10;Fogo em áreas de desmatamento consolidado;16;DISTRITO FEDERAL
2024/09;Fogo em áreas de vegetação nativa;24;DISTRITO FEDERAL
2024/09;Fogo em áreas de desmatamento recente;7;DISTRITO FEDERAL
2024/08;Fogo em áreas de vegetação nativa;3;DISTRITO FEDERAL
2024/08;Fogo em áreas de desmatamento recente;2;DISTRITO FEDERAL
2024/08;Fogo em áreas de desmatamento consolidado;51;DISTRITO FEDERAL
2024/07;Fogo em áreas de vegetação nativa;2;DISTRITO FEDERAL
2025/02;Fogo em áreas de desmatamento consolidado;1;DISTRITO FEDERAL
2025/05;Fogo em áreas de desmatamento consolidado;4;DISTRITO FEDERAL
2024/07;Fogo em áreas de desmatamento recente;5;DISTRITO FEDERAL
2024/07;Fogo em áreas de desmatamento consolidado;49;DISTRITO FEDERAL
2025/06;Fogo em áreas de desmatamento consolidado;5;DISTRITO FEDERAL
2024/06;Fogo em áreas de desmatamento consolidado;24;DISTRITO FEDERAL
2025/03;Fogo em áreas de desmatamento consolidado;2;DISTRITO FEDERAL
2024/09;Fogo em áreas de desmatamento consolidado;137;DISTRITO FEDERAL
2025/01;Fogo em áreas de desmatamento consolidado;15;BAHIA
2024/12;Fogo em áreas de vegetação nativa;6;BAHIA
2024/12;Fogo em áreas de desmatamento recente;25;BAHIA
2024/12;Fogo em áreas de desmatamento consolidado;25;BAHIA
2024/11;Fogo em áreas de vegetação nativa;6;BAHIA
2024/11;Fogo em áreas de desmatamento recente;29;BAHIA
2024/11;Fogo em áreas de desmatamento consolidado;10;BAHIA
2024/10;Fogo em áreas de vegetação nativa;222;BAHIA
2024/10;Fogo em áreas de desmatamento recente;87;BAHIA
2024/10;Fogo em áreas de desmatamento consolidado;138;BAHIA
2024/09;Fogo em áreas de vegetação nativa;702;BAHIA
2024/09;Fogo em outras áreas;1;BAHIA
2024/09;Fogo em áreas de desmatamento recente;228;BAHIA
2024/09;Fogo em áreas de desmatamento consolidado;379;BAHIA
2024/08;Fogo em áreas de vegetação nativa;167;BAHIA
2024/08;Fogo em outras áreas;1;BAHIA
2024/08;Fogo em áreas de desmatamento recente;97;BAHIA
2024/08;Fogo em áreas de desmatamento consolidado;231;BAHIA
2024/07;Fogo em áreas de vegetação nativa;65;BAHIA
2024/07;Fogo em áreas de desmatamento recente;164;BAHIA
2024/07;Fogo em áreas de desmatamento consolidado;108;BAHIA
2024/06;Fogo em áreas de vegetação nativa;32;BAHIA
2024/06;Fogo em áreas de desmatamento recente;118;BAHIA
2024/06;Fogo em áreas de desmatamento consolidado;45;BAHIA
2025/06;Fogo em áreas de vegetação nativa;47;BAHIA
2025/06;Fogo em áreas de desmatamento recente;73;BAHIA
2025/06;Fogo em áreas de desmatamento consolidado;14;BAHIA
2025/05;Fogo em áreas de vegetação nativa;16;BAHIA
2025/05;Fogo em áreas de desmatamento recente;133;BAHIA
2025/05;Fogo em áreas de desmatamento consolidado;33;BAHIA
2025/04;Fogo em áreas de vegetação nativa;7;BAHIA
2025/04;Fogo em áreas de desmatamento recente;65;BAHIA
2025/04;Fogo em áreas de desmatamento consolidado;18;BAHIA
2025/03;Fogo em áreas de vegetação nativa;13;BAHIA
2025/03;Fogo em áreas de desmatamento recente;35;BAHIA
2025/03;Fogo em áreas de desmatamento consolidado;18;BAHIA
2025/02;Fogo em áreas de vegetação nativa;10;BAHIA
2025/02;Fogo em áreas de desmatamento recente;47;BAHIA
2025/02;Fogo em áreas de desmatamento consolidado;16;BAHIA
